N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
77,SKC,"102,000",500,-0.49%,"5,000","38,626","37,868",7.63,"532,080",45.27,3.86,
78,삼성증권,"42,850","1,500",+3.63%,"5,000","38,265","89,300",25.34,"2,027,277",8.14,8.15,
79,롯데지주,"35,750",250,+0.70%,200,"37,505","104,909",11.18,"367,835",-5.23,-5.21,
80,삼성카드,"31,650",300,-0.94%,"5,000","36,669","115,859",10.20,"181,475",8.90,5.04,
81,GS,"38,450",500,+1.32%,"5,000","35,726","92,915",18.77,"1,114,375",-41.70,6.26,
82,두산퓨얼셀,"54,300","2,700",-4.74%,100,"35,563","65,494",14.19,"4,265,208",159.24,N/A,
83,키움증권,"146,500","12,000",+8.92%,"5,000","35,188","24,019",22.09,"937,735",6.47,16.97,
84,NH투자증권,"12,250",650,+5.60%,"5,000","34,473","281,409",14.80,"6,064,667",5.95,9.12,
85,쌍용양회,"6,700",20,+0.30%,100,"33,759","503,860",2.96,"1,631,883",26.91,7.02,
86,에스원,"87,900",600,-0.68%,500,"33,401","37,999",55.68,"77,625",23.13,11.32,
87,동서,"33,250",450,-1.34%,500,"33,150","99,700",4.36,"106,551",23.97,10.53,
88,현대차2우B,"90,100","2,500",-2.70%,"5,000","32,873","36,485",60.85,"174,914",21.53,N/A,
89,GS건설,"39,950",50,-0.12%,"5,000","32,108","80,370",27.37,"1,062,469",10.45,11.79,
90,호텔신라,"81,600",600,-0.73%,"5,000","32,026","39,248",20.30,"651,439",-24.76,20.16,
91,더존비즈온,"106,000","1,000",+0.95%,500,"31,912","30,106",45.93,"102,969",65.88,18.78,
92,만도,"66,300",400,-0.60%,"1,000","31,133","46,957",26.05,"679,781",-56.14,7.55,
93,대우조선해양,"28,850",100,+0.35%,"5,000","30,953","107,291",8.94,"627,196",17.75,-1.22,
94,씨에스윈드,"178,000","2,500",-1.39%,500,"30,769","17,286",8.25,"277,734",62.06,9.92,
95,LG화학우,"393,500",500,-0.13%,"5,000","30,255","7,689",60.51,"63,887",36.77,N/A,
96,두산밥캣,"30,150",350,+1.17%,500,"30,225","100,249",20.60,"366,650",16.31,7.05,
97,DB손해보험,"42,400",550,-1.28%,500,"30,019","70,800",40.69,"186,903",5.40,6.92,
98,TIGER 200,"41,075",45,-0.11%,0,"29,985","73,000",7.48,"1,707,259",N/A,N/A,
99,한국가스공사,"31,900",850,+2.74%,"5,000","29,448","92,313",8.73,"945,978",-5.87,0.48,
100,롯데쇼핑,"102,500","1,000",-0.97%,"5,000","28,996","28,289",11.34,"152,146",-2.16,-8.14,
101,대림산업,"83,000",0,0.00%,"5,000","28,884","34,800",32.33,0,4.39,11.74,
102,현대오토에버,"137,000",500,-0.36%,500,"28,770","21,000",1.48,"185,906",50.05,11.71,
103,한국항공우주,"29,250","1,450",+5.22%,"5,000","28,511","97,475",14.19,"2,676,492",21.54,15.84,
104,팬오션,"5,210",220,-4.05%,"1,000","27,851","534,570",11.41,"5,740,760",20.59,5.49,
105,CJ,"95,200","1,200",+1.28%,"5,000","27,776","29,177",19.98,"192,733",15.81,6.24,
106,삼성엔지니어링,"14,100",250,+1.81%,"5,000","27,636","196,000",24.71,"4,963,389",10.82,24.62,
107,GS리테일,"35,250",50,+0.14%,"1,000","27,142","77,000",14.31,"489,515",16.07,6.25,
108,휠라홀딩스,"44,250",450,-1.01%,"1,000","26,883","60,752",47.67,"423,146",14.92,23.81,
109,한샘,"110,500","4,000",+3.76%,"1,000","26,005","23,534",23.26,"179,965",38.80,7.32,
110,메리츠증권,"3,765",55,+1.48%,"1,000","25,450","675,962",12.73,"7,776,705",4.71,15.06,
111,종근당,"230,500","1,500",-0.65%,"2,500","25,092","10,886",13.34,"151,028",27.35,11.94,
112,대우건설,"6,020",230,+3.97%,"5,000","25,020","415,623",8.33,"31,971,618",13.00,8.80,
113,하이트진로,"34,750","1,550",+4.67%,"5,000","24,371","70,134",9.22,"2,100,992",32.84,-3.86,
114,일진머티리얼즈,"52,100",900,-1.70%,500,"24,024","46,111",7.91,"434,731",54.05,8.52,
115,DB하이텍,"54,100","4,200",+8.42%,"5,000","24,020","44,399",27.49,"5,162,437",14.60,17.40,
116,현대로템,"21,850",200,+0.92%,"5,000","23,848","109,142",4.88,"10,235,211",-12.41,-37.93,
117,LS,"74,000","2,000",-2.63%,"5,000","23,828","32,200",12.02,"340,876","-1,027.78",0.80,
118,녹십자홀딩스,"50,600","1,050",+2.12%,500,"23,796","47,028",6.69,"6,691,086",47.83,0.37,
119,제일기획,"20,350",100,+0.49%,200,"23,411","115,041",32.36,"662,689",17.25,15.09,
120,신세계,"237,500","2,000",-0.84%,"5,000","23,382","9,845",24.77,"84,047",-7.63,14.24,
121,OCI,"96,700","3,100",-3.11%,"5,000","23,062","23,849",20.01,"525,992",-3.12,-26.20,
122,BGF리테일,"133,000","1,500",-1.12%,"1,000","22,988","17,284",30.81,"38,189",17.57,26.46,
123,한화생명,"2,630",140,+5.62%,"5,000","22,842","868,530",7.39,"16,480,173",10.00,0.51,
124,현대차우,"89,600","1,700",-1.86%,"5,000","21,824","24,357",53.44,"158,829",21.41,N/A,
125,한화,"29,100",400,-1.36%,"5,000","21,813","74,959",19.58,"656,052",11.86,2.09,
126,대웅제약,"186,000","4,500",-2.36%,"2,500","21,551","11,587",4.79,"543,460","-1,300.70",4.34,
127,한솔케미칼,"190,500","7,500",-3.79%,"5,000","21,517","11,295",38.46,"100,141",18.33,20.88,
128,현대미포조선,"52,700","1,100",-2.04%,"5,000","21,050","39,942",13.44,"636,604",45.35,2.31,
129,KODEX 단기채권,"102,635",0,0.00%,0,"20,930","20,393",2.94,"26,049",N/A,N/A,
130,오뚜기,"569,000","4,000",-0.70%,"5,000","20,894","3,672",16.01,"7,205",19.23,7.79,
131,한올바이오파마,"39,700","1,450",+3.79%,500,"20,740","52,241",7.81,"1,738,582",105.31,14.90,
132,현대해상,"22,200",300,-1.33%,500,"19,847","89,400",37.32,"494,685",5.45,6.23,
133,LS ELECTRIC,"64,600","1,400",-2.12%,"5,000","19,380","30,000",14.45,"268,774",24.89,7.82,
134,KODEX 200선물인버스2X,"2,320",5,+0.22%,0,"19,142","825,100",1.15,"252,242,436",N/A,N/A,
135,한화시스템,"17,150",650,-3.65%,"5,000","18,905","110,230",2.37,"1,191,824",24.29,8.15,
136,명신산업,"46,050","2,250",-4.66%,500,"18,779","40,779",1.04,"1,654,655",N/A,53.84,
137,현대위아,"68,800","2,900",-4.04%,"5,000","18,710","27,195",11.71,"1,152,383",14.87,1.80,
138,포스코인터내셔널,"15,150",50,+0.33%,"5,000","18,691","123,375",11.80,"1,207,001",8.36,7.06,
139,HDC현대산업개발,"28,150",100,+0.36%,"5,000","18,553","65,907",10.06,"1,795,875",6.99,20.30,
140,BNK금융지주,"5,600",20,+0.36%,"5,000","18,252","325,935",36.67,"2,154,685",3.80,7.07,
141,KCC,"204,500",0,0.00%,"5,000","18,173","8,886",11.61,"62,881",-649.21,-4.37,
142,농심,"298,500","3,000",-1.00%,"5,000","18,157","6,083",18.35,"49,979",13.39,3.72,
143,부광약품,"28,000",450,-1.58%,500,"18,155","64,838",4.75,"848,134","14,000.00",-2.00,
144,대한유화,"278,500","43,500",+18.51%,"5,000","18,102","6,500",17.32,"498,305",20.39,6.11,
145,TIGER MSCI Korea TR,"16,635",10,-0.06%,0,"17,816","107,100",0.00,"379,731",N/A,N/A,
146,KODEX MSCI Korea TR,"13,245",50,-0.38%,0,"17,656","133,300",9.64,"400,592",N/A,N/A,
147,두산인프라코어,"8,140",20,+0.25%,"5,000","17,575","215,913",4.66,"1,709,006",10.50,11.59,
148,아이에스동서,"56,300",100,+0.18%,500,"17,393","30,893",5.34,"177,603",13.57,6.10,
149,현대엘리베이,"41,750",50,-0.12%,"5,000","17,040","40,815",25.25,"519,330",18.70,5.22,
150,현대백화점,"72,800","1,200",-1.62%,"5,000","17,037","23,402",13.97,"246,825",14.91,4.64,
151,메리츠화재,"14,100",50,+0.36%,500,"17,008","120,625",9.83,"318,468",4.13,12.80,
152,효성,"76,500",100,+0.13%,"5,000","16,119","21,071",5.83,"101,573",-35.86,4.25,
153,솔루스첨단소재,"51,800",600,-1.15%,100,"15,845","30,590",10.37,"503,137",149.71,N/A,
154,KODEX 200TR,"13,195",25,-0.19%,0,"15,557","117,900",0.00,"247,162",N/A,N/A,
155,한화에어로스페이스,"30,450",250,-0.81%,"5,000","15,417","50,630",18.67,"663,081",21.35,5.45,
156,영진약품,"8,330",380,+4.78%,500,"15,235","182,893",4.16,"5,711,928","-2,082.50",4.43,
157,KODEX 삼성그룹,"10,265",110,-1.06%,0,"14,987","146,000",0.03,"1,109,866",N/A,N/A,
